Year,Country,Geographical Region,Geographical Group,البلد,المجموعة الجغرافية,المنطقة الجغرافية,Value
2021,"TANZANIA, UNITED REPUBLIC OF",R6-AFRICA,SUB-SAHARAN AFRICA,جمهورية تنزانيا المتحدة,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,1.04
2021,TRINIDAD AND TOBAGO,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,ترينيتي توباغو,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2021,TÜRKIYE,R3-ASIA,WESTERN ASIA,تركيا,غربي آسيا,R3-آسيا,352.27
2021,UNITED STATES VIRGIN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر فرجن التابعة للولايات المتحدة,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,-0.77
2021,"VENEZUELA, BOLIVARIAN REPUBLIC OF",R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,فنزويلا,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,-0.01
2021,VIETNAM,R3-ASIA,SOUTH-EASTERN ASIA,فيتنام,جنوب شرقي آسيا,R3-آسيا,-0.01
2022,ALGERIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,الجزائر,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.06
2022,BAHAMAS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,باهاماس,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,79.73
2022,BANGLADESH,R3-ASIA,SOUTHERN ASIA,بنغلاديش,جنوب آسيا,R3-آسيا,-0.06
2022,BARBADOS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,برباد,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,44.84
2022,BRITISH VIRGIN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر فرجين البريطانية,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,62.69
2022,BRUNEI DARUSSALAM,R3-ASIA,SOUTH-EASTERN ASIA,برونيي,جنوب شرقي آسيا,R3-آسيا,0.08
2022,COMOROS,R2-OTHER ARAB COUNTRIES,SUB-SAHARAN AFRICA,جزر القمر,أفريقيا جنوب الصحراء الكبرى,R2-الدول العربية الأخرى,0.0
2022,ETHIOPIA,R6-AFRICA,SUB-SAHARAN AFRICA,اثيوبيا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.01
2022,FINLAND,R5-EUROPE,NORTHERN EUROPE,فنلندا,أوروبا الشمالية,R5-أوروبا,-0.32
