Year,Country,Geographical Region,Geographical Group,البلد,المجموعة الجغرافية,المنطقة الجغرافية,Value
2019,"VENEZUELA, BOLIVARIAN REPUBLIC OF",R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,فنزويلا,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2019,YEMEN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,اليمن,غربي آسيا,R2-الدول العربية الأخرى,4.23
2020,AUSTRALIA,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,استراليا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.93
2020,AZERBAIJAN,R3-ASIA,WESTERN ASIA,اذربيدجان,غربي آسيا,R3-آسيا,-0.01
2020,BAHAMAS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,باهاماس,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,82.12
2020,BANGLADESH,R3-ASIA,SOUTHERN ASIA,بنغلاديش,جنوب آسيا,R3-آسيا,0.11
2020,BELGIUM,R5-EUROPE,WESTERN EUROPE,بلجيكا,أوروبا الغربية,R5-أوروبا,8.88
2020,BERMUDA,R4-AMERICAS,NORTHERN AMERICA,برمودا,أمريكا الشمالية,R4-أمريكا,-28.16
2020,CHILE,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,تشيلي,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2020,COMOROS,R2-OTHER ARAB COUNTRIES,SUB-SAHARAN AFRICA,جزر القمر,أفريقيا جنوب الصحراء الكبرى,R2-الدول العربية الأخرى,0.0
2020,CYPRUS,R3-ASIA,WESTERN ASIA,قبرص,غربي آسيا,R3-آسيا,23.91
2020,CZECHIA,R5-EUROPE,EASTERN EUROPE,تشيك,أوروبا الشرقية,R5-أوروبا,0.1
2020,EGYPT,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,جمهورية مصر العربية,أفريقيا الشمالية,R2-الدول العربية الأخرى,4.83
2020,FRANCE,R5-EUROPE,WESTERN EUROPE,فرنسا,أوروبا الغربية,R5-أوروبا,-113.26
2020,HUNGARY,R5-EUROPE,EASTERN EUROPE,هنغاريا,أوروبا الشرقية,R5-أوروبا,0.02
2020,INDIA,R3-ASIA,SOUTHERN ASIA,الهند,جنوب آسيا,R3-آسيا,536.86
2020,IRAN,R3-ASIA,SOUTHERN ASIA,جمهورية ايران الاسلامية,جنوب آسيا,R3-آسيا,117.04
2020,IRAQ,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الجمهورية العراقية,غربي آسيا,R2-الدول العربية الأخرى,4.45
2020,ISLE OF MAN,R5-EUROPE,NORTHERN EUROPE,جزيرة مان,غربي آسيا,R3-آسيا,1.18
2020,ISRAEL,R3-ASIA,WESTERN ASIA,إسرائيل,غربي آسيا,R3-آسيا,-0.05
2020,JAPAN,R3-ASIA,EASTERN ASIA,اليابان,شرقي آسيا,R3-آسيا,156.68
2020,KAZAKHSTAN,R3-ASIA,CENTRAL ASIA,كازخستان,دول آسيا الوسطى,R3-آسيا,0.22
2020,KUWAIT,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة الكويت,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,3460.24
2020,LEBANON,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,لبنان,غربي آسيا,R2-الدول العربية الأخرى,19.55
2020,LIBYA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,ليبيا,أفريقيا الشمالية,R2-الدول العربية الأخرى,1088.64
2020,MALAYSIA,R3-ASIA,SOUTH-EASTERN ASIA,ماليزيا,جنوب شرقي آسيا,R3-آسيا,0.09
2020,MAURITIUS,R6-AFRICA,SUB-SAHARAN AFRICA,موريس,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,
2020,MEXICO,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,المكسيك,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2020,MOROCCO,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,المغرب,أفريقيا الشمالية,R2-الدول العربية الأخرى,2.07
2020,OMAN,R1-GCC,COUNTRIES OF ARABIAN GULF,عمان,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,45.74
2020,PANAMA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بنما,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,3.19
2020,PHILIPPINES,R3-ASIA,SOUTH-EASTERN ASIA,الفلبين,جنوب شرقي آسيا,R3-آسيا,-0.08
2020,POLAND,R5-EUROPE,EASTERN EUROPE,بولندا,أوروبا الشرقية,R5-أوروبا,0.09
2020,SAUDI ARABIA,R1-GCC,COUNTRIES OF ARABIAN GULF,المملكة العربية السعودية,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,3499.15
2020,SEYCHELLES,R6-AFRICA,SUB-SAHARAN AFRICA,سيشل,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.13
2020,SINGAPORE,R3-ASIA,SOUTH-EASTERN ASIA,سنغافورة,جنوب شرقي آسيا,R3-آسيا,8.81
2020,SPAIN,R5-EUROPE,SOUTHERN EUROPE,اسبانيا,أوروبا الجنوبية,R5-أوروبا,2.16
2020,SWITZERLAND,R5-EUROPE,WESTERN EUROPE,سويسرا,أوروبا الغربية,R5-أوروبا,-50.27
2020,"TAIWAN, PROVINCE OF CHINA",R3-ASIA,EASTERN ASIA,مقاطعة تايوان الصينية,شرقي آسيا,R3-آسيا,2.95
2020,TURKEY,R3-ASIA,WESTERN ASIA,تركيا,غربي آسيا,R3-آسيا,443.02
2020,UZBEKISTAN,R3-ASIA,CENTRAL ASIA,اوزبكستان,دول آسيا الوسطى,R3-آسيا,0.0
2020,YEMEN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,اليمن,غربي آسيا,R2-الدول العربية الأخرى,2.67
2021,AUSTRIA,R5-EUROPE,WESTERN EUROPE,النمسا,أوروبا الغربية,R5-أوروبا,1.26
2021,BANGLADESH,R3-ASIA,SOUTHERN ASIA,بنغلاديش,جنوب آسيا,R3-آسيا,-0.01
2021,BRAZIL,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,البرازيل,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,2.42
2021,BULGARIA,R5-EUROPE,EASTERN EUROPE,بلغاريا,أوروبا الشرقية,R5-أوروبا,0.0
2021,CANADA,R4-AMERICAS,NORTHERN AMERICA,كندا,أمريكا الشمالية,R4-أمريكا,18.05
2021,"CHINA, HONG KONG SPECIAL ADMINISTRATIVE REGION",R3-ASIA,EASTERN ASIA,الصين، منطقة هونغ كونغ الإدارية الخاصة,شرقي آسيا,R3-آسيا,50.19
2021,CONGO,R6-AFRICA,SUB-SAHARAN AFRICA,كونغو,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,GABON,R6-AFRICA,SUB-SAHARAN AFRICA,غابون,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,GERMANY,R5-EUROPE,WESTERN EUROPE,ألمانيا,أوروبا الغربية,R5-أوروبا,-37.38
2021,GIBRALTAR,R5-EUROPE,SOUTHERN EUROPE,جبل طارق,أوروبا الجنوبية,R5-أوروبا,0.11
2021,GUERNSEY,R5-EUROPE,NORTHERN EUROPE,غيرنزي,أوروبا الشمالية,R5-أوروبا,-1.17
2021,HUNGARY,R5-EUROPE,EASTERN EUROPE,هنغاريا,أوروبا الشرقية,R5-أوروبا,0.06
2021,INDIA,R3-ASIA,SOUTHERN ASIA,الهند,جنوب آسيا,R3-آسيا,551.04
2021,INDONESIA,R3-ASIA,SOUTH-EASTERN ASIA,اندونسيا,جنوب شرقي آسيا,R3-آسيا,0.0
2021,"IRAN, ISLAMIC REPUBLIC OF",R3-ASIA,SOUTHERN ASIA,جمهورية ايران الاسلامية,جنوب آسيا,R3-آسيا,78.01
2021,IRAQ,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الجمهورية العراقية,غربي آسيا,R2-الدول العربية الأخرى,12.7
2021,IRELAND,R5-EUROPE,NORTHERN EUROPE,ايرلندا,أوروبا الشمالية,R5-أوروبا,23.71
2021,ISLE OF MAN,R5-EUROPE,NORTHERN EUROPE,جزيرة مان,غربي آسيا,R3-آسيا,1.18
2021,ISRAEL,R3-ASIA,WESTERN ASIA,إسرائيل,غربي آسيا,R3-آسيا,-0.2
2021,ITALY,R5-EUROPE,SOUTHERN EUROPE,ايطاليا,أوروبا الجنوبية,R5-أوروبا,15.1
2021,JERSEY,R5-EUROPE,NORTHERN EUROPE,جيرزي,أوروبا الشمالية,R5-أوروبا,36.28
2021,KAZAKHSTAN,R3-ASIA,CENTRAL ASIA,كازخستان,دول آسيا الوسطى,R3-آسيا,0.28
2021,KUWAIT,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة الكويت,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,3688.9
2021,LIBYA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,ليبيا,أفريقيا الشمالية,R2-الدول العربية الأخرى,1111.63
2021,MARSHALL ISLANDS,R7-OCEANIA,MICRONESIA,جزر المارشال,ميكرونيزيا,R7-أوقيانيسيا,56.93
2021,NORTH MACEDONIA,R5-EUROPE,SOUTHERN EUROPE,مقدونيا الشمالية,أوروبا الجنوبية,R5-أوروبا,-0.01
2021,PANAMA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بنما,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,3.32
2021,PORTUGAL,R5-EUROPE,SOUTHERN EUROPE,البرتغال,أوروبا الجنوبية,R5-أوروبا,0.06
2021,RUSSIAN FEDERATION,R5-EUROPE,EASTERN EUROPE,روسيا الاتحادية,أوروبا الشرقية,R5-أوروبا,0.11
2021,SLOVAKIA,R5-EUROPE,EASTERN EUROPE,سلوفاكيا,أوروبا الشرقية,R5-أوروبا,0.02
2021,SYRIAN ARAB REPUBLIC,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,سوريا,غربي آسيا,R2-الدول العربية الأخرى,0.01
2021,"TAIWAN, PROVINCE OF CHINA",R3-ASIA,EASTERN ASIA,مقاطعة تايوان الصينية,شرقي آسيا,R3-آسيا,2.9
2021,TUNISIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,تونس,أفريقيا الشمالية,R2-الدول العربية الأخرى,0.0
2021,UKRAINE,R5-EUROPE,EASTERN EUROPE,اوكرانيا,أوروبا الشرقية,R5-أوروبا,0.0
2022,AUSTRALIA,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,استراليا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.04
2022,AUSTRIA,R5-EUROPE,WESTERN EUROPE,النمسا,أوروبا الغربية,R5-أوروبا,1.06
2022,AZERBAIJAN,R3-ASIA,WESTERN ASIA,اذربيدجان,غربي آسيا,R3-آسيا,0.08
2022,CAMEROON,R6-AFRICA,SUB-SAHARAN AFRICA,كاميرون شع,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2022,CANADA,R4-AMERICAS,NORTHERN AMERICA,كندا,أمريكا الشمالية,R4-أمريكا,17.97
2022,CAYMAN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر كيمان,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,721.43
2022,CHINA,R3-ASIA,EASTERN ASIA,الصين,شرقي آسيا,R3-آسيا,2.35
2022,"CHINA, HONG KONG SPECIAL ADMINISTRATIVE REGION",R3-ASIA,EASTERN ASIA,الصين، منطقة هونغ كونغ الإدارية الخاصة,شرقي آسيا,R3-آسيا,50.7
2022,CONGO,R6-AFRICA,SUB-SAHARAN AFRICA,كونغو,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2022,CROATIA,R5-EUROPE,SOUTHERN EUROPE,كرواتيا,أوروبا الجنوبية,R5-أوروبا,0.01
2022,DENMARK,R5-EUROPE,NORTHERN EUROPE,الدنمارك,أوروبا الشمالية,R5-أوروبا,115.67
2022,GABON,R6-AFRICA,SUB-SAHARAN AFRICA,غابون,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2022,GERMANY,R5-EUROPE,WESTERN EUROPE,ألمانيا,أوروبا الغربية,R5-أوروبا,-14.51
2022,GUYANA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,غويان,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2022,HUNGARY,R5-EUROPE,EASTERN EUROPE,هنغاريا,أوروبا الشرقية,R5-أوروبا,0.06
2022,"IRAN, ISLAMIC REPUBLIC OF",R3-ASIA,SOUTHERN ASIA,جمهورية ايران الاسلامية,جنوب آسيا,R3-آسيا,0.0
2022,ITALY,R5-EUROPE,SOUTHERN EUROPE,ايطاليا,أوروبا الجنوبية,R5-أوروبا,18.8
2022,JAPAN,R3-ASIA,EASTERN ASIA,اليابان,شرقي آسيا,R3-آسيا,310.85
2022,KAZAKHSTAN,R3-ASIA,CENTRAL ASIA,كازخستان,دول آسيا الوسطى,R3-آسيا,0.05
2022,KUWAIT,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة الكويت,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,4175.42
2022,LATVIA,R5-EUROPE,NORTHERN EUROPE,لاتيفيا,أوروبا الشمالية,R5-أوروبا,-1.37
2022,LUXEMBOURG,R5-EUROPE,WESTERN EUROPE,لوكسمبورغ,أوروبا الغربية,R5-أوروبا,26.55
2022,MALAYSIA,R3-ASIA,SOUTH-EASTERN ASIA,ماليزيا,جنوب شرقي آسيا,R3-آسيا,0.34
2022,MEXICO,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,المكسيك,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.01
2022,MOROCCO,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,المغرب,أفريقيا الشمالية,R2-الدول العربية الأخرى,2.33
2022,NEPAL,R3-ASIA,SOUTHERN ASIA,نيبال,جنوب آسيا,R3-آسيا,0.0
2022,OMAN,R1-GCC,COUNTRIES OF ARABIAN GULF,عمان,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,138.14
2022,POLAND,R5-EUROPE,EASTERN EUROPE,بولندا,أوروبا الشرقية,R5-أوروبا,0.0
2022,PORTUGAL,R5-EUROPE,SOUTHERN EUROPE,البرتغال,أوروبا الجنوبية,R5-أوروبا,0.04
2022,QATAR,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة قطر,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,346.37
2022,RUSSIAN FEDERATION,R5-EUROPE,EASTERN EUROPE,روسيا الاتحادية,أوروبا الشرقية,R5-أوروبا,-0.07
2022,SAINT KITTS AND NEVIS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,سانت كيتس ونيفس,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,1.18
2022,SAUDI ARABIA,R1-GCC,COUNTRIES OF ARABIAN GULF,المملكة العربية السعودية,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,3410.33
2022,SEYCHELLES,R6-AFRICA,SUB-SAHARAN AFRICA,سيشل,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.13
2022,SOUTH AFRICA,R6-AFRICA,SUB-SAHARAN AFRICA,جمهورية افريقيا الجنوبية,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2022,SUDAN,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,السودان,أفريقيا الشمالية,R2-الدول العربية الأخرى,0.73
2022,SWITZERLAND,R5-EUROPE,WESTERN EUROPE,سويسرا,أوروبا الغربية,R5-أوروبا,-10.93
2022,"TAIWAN, PROVINCE OF CHINA",R3-ASIA,EASTERN ASIA,مقاطعة تايوان الصينية,شرقي آسيا,R3-آسيا,3.39
2022,THAILAND,R3-ASIA,SOUTH-EASTERN ASIA,تايلاند,جنوب شرقي آسيا,R3-آسيا,0.46
2022,VIETNAM,R3-ASIA,SOUTH-EASTERN ASIA,فيتنام,جنوب شرقي آسيا,R3-آسيا,-0.01
