Year,Quarter,Contribution Percentage of the Economic Sectors to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة القطاعات الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,Contribution Percentage of the Economic Activities to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة الأنشطة الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,"Value 
BD Million"
2021,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,7.794759688299896
2021,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.4441645004799488
2021,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.4146822496552363
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.4050001621190538
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.6450407104620992
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.480844762298721
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.285956354622063
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.879292381031398
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.2389834225274372
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,19.930451749885844
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.7440400792198174
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.5577678714624152
2022,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,18.383945597347072
2022,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,23.195209720802826
2022,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,7.029056176053194
